team,region,win,loss,draw,points
Germany,UEFA,7,6,0,1
Argentina,CONMEBOL,7,5,1,1
Netherlands,UEFA,7,5,0,2
Belgium,UEFA,5,4,1,0
Colombia,CONMEBOL,5,4,1,0
Brazil,CONMEBOL,7,3,2,2
Japan,AFC,3,0,2,1
United States,CONCACAF,4,1,2,1
